"Line" "Gener" "ind" "bloss" "GenLine" "dam" "sire" "SEL" "GA" "logGA" "UBA" "logUBA"
"101" "Up" "F1" "UP1_34" 2 "F1Up" "51290" "51077" "no" 28.29 3.34250838531348 578.59 6.36059410929555
"102" "Up" "F1" "UP1_34" 3 "F1Up" "51290" "51077" "no" 26.74 3.2861605716738 471.74 6.15642798635573
"103" "Up" "F1" "UP1_35" 1 "F1Up" "51290" "51342" "no" 23.78 3.16884489126264 469.89 6.15249862475868
"104" "Up" "F1" "UP1_35" 2 "F1Up" "51290" "51342" "no" 27.78 3.3243163373262 432.31 6.06914292349024
"105" "Up" "F1" "UP1_35" 3 "F1Up" "51290" "51342" "no" 27.9 3.32862668882732 457.59 6.12597358667995
"106" "Up" "F1" "UP1_36" 1 "F1Up" "51290" "51342" "no" 16.71 2.8160073426073 598.01 6.39360747621884
"107" "Up" "F1" "UP1_36" 2 "F1Up" "51290" "51342" "no" 26.47 3.27601201623901 686.07 6.5309796633364
"108" "Up" "F1" "UP1_36" 3 "F1Up" "51290" "51342" "no" 20.22 3.00667221359233 441.66 6.09054035529867
"109" "Up" "F1" "UP1_37" 1 "F1Up" "51290" "51345" "no" 20.29 3.01012815383772 327.25 5.79072440479001
"110" "Up" "F1" "UP1_37" 2 "F1Up" "51290" "51345" "no" 20.97 3.04309284491383 470.44 6.15366842698284
"111" "Up" "F1" "UP1_37" 3 "F1Up" "51290" "51345" "no" 34.06 3.52812367523454 520.76 6.2552892830292
"112" "Up" "F1" "UP1_38" 1 "F1Up" "51290" "51345" "no" 31.43 3.44776285080948 563.94 6.33494786286027
"113" "Up" "F1" "UP1_38" 2 "F1Up" "51290" "51345" "no" 25.15 3.22485789654575 515.73 6.24558337272151
"114" "Up" "F1" "UP1_38" 3 "F1Up" "51290" "51345" "no" 27.98 3.33148996923734 505.72 6.2259831564437
"115" "Up" "F1" "UP1_39" 1 "F1Up" "51290" "51367" "no" 25.63 3.24376354037598 413.61 6.02492350085165
"116" "Up" "F1" "UP1_39" 2 "F1Up" "51290" "51367" "no" 39.77 3.6831128592196 516.18 6.24645554186131
"117" "Up" "F1" "UP1_39" 3 "F1Up" "51290" "51367" "no" 29.67 3.39013643430273 438.68 6.08377021789201
