"Line" "Gener" "ind" "bloss" "GenLine" "dam" "sire" "SEL" "GA" "logGA" "UBA" "logUBA"
"160" "Parent" "P" "70218" 4 "PParent" "40028" "40150" "DtF1" 15.56 2.74470351875025 318.97 5.76509705447529
"161" "Parent" "P" "70221" 1 "PParent" "40118" "40118" "no" 22.25 3.10234200861225 471.83 6.15661875121742
"162" "Parent" "P" "70221" 2 "PParent" "40118" "40118" "no" 17.93 2.88647528761704 373.12 5.92190008372207
"163" "Parent" "P" "70221" 3 "PParent" "40118" "40118" "no" 17.94 2.88703285663065 369.08 5.91101342271036
"164" "Parent" "P" "70221" 4 "PParent" "40118" "40118" "no" NA NA NA NA
"165" "Parent" "P" "70234" 1 "PParent" "40002" "40096" "no" 17.54 2.86448398694404 294.35 5.68476953547427
"166" "Parent" "P" "70234" 2 "PParent" "40002" "40096" "no" 18.94 2.94127608775793 284.88 5.65206803896952
"167" "Parent" "P" "70234" 3 "PParent" "40002" "40096" "no" 18.16 2.89922137317315 250.79 5.52461593555555
"168" "Parent" "P" "70234" 4 "PParent" "40002" "40096" "no" 21.87 3.08511583468868 371.04 5.91630987350722
"169" "Parent" "P" "70235" 1 "PParent" "40149" "40026" "no" 16.54 2.80578168959555 355.09 5.87237127847113
"170" "Parent" "P" "70235" 2 "PParent" "40149" "40026" "no" 17.26 2.84839168565528 357.67 5.87961077358365
"171" "Parent" "P" "70235" 3 "PParent" "40149" "40026" "no" 21.84 3.0837431508767 425.07 6.05225386124425
"172" "Parent" "P" "70235" 4 "PParent" "40149" "40026" "no" NA NA NA NA
"173" "Parent" "P" "70245" 1 "PParent" "40053" "40026" "no" 19.33 2.96165829322024 411.87 6.02070776557762
"174" "Parent" "P" "70245" 2 "PParent" "40053" "40026" "no" 18.89 2.93863268151342 394.13 5.97668080411523
"175" "Parent" "P" "70245" 3 "PParent" "40053" "40026" "no" 23.79 3.16926532431487 472.05 6.15708491217853
"176" "Parent" "P" "70245" 4 "PParent" "40053" "40026" "no" 18.7 2.92852352386054 353.81 5.8687600458825
"177" "Parent" "P" "70252" 1 "PParent" "40081" "40081" "no" 16.41 2.797890905102 253.38 5.53489033817391
"178" "Parent" "P" "70252" 2 "PParent" "40081" "40081" "no" 21.98 3.09013294897548 340.86 5.83147183579709
"179" "Parent" "P" "70252" 3 "PParent" "40081" "40081" "no" 19.88 2.98971420122843 329.66 5.79806182030321
"180" "Parent" "P" "70252" 4 "PParent" "40081" "40081" "no" 17.16 2.84258109405982 256.78 5.54821968716294
"181" "Parent" "P" "70263" 1 "PParent" "40023" "40023" "no" 9.91 2.2935443483419 318.28 5.76293149850933
"182" "Parent" "P" "70263" 2 "PParent" "40023" "40023" "no" 18.99 2.94391252482419 461.27 6.1339835548483
"183" "Parent" "P" "70263" 3 "PParent" "40023" "40023" "no" 18.7 2.92852352386054 503.64 6.2218617271335
"184" "Parent" "P" "70263" 4 "PParent" "40023" "40023" "no" 19.46 2.96836107675786 422.6 6.04642610518196
"185" "Parent" "P" "70265" 1 "PParent" "40019" "40089" "no" 19.1 2.94968833505258 395.07 5.97906296439024
"186" "Parent" "P" "70265" 2 "PParent" "40019" "40089" "no" 15.95 2.76945882923085 301 5.70711026474888
"187" "Parent" "P" "70265" 3 "PParent" "40019" "40089" "no" 22.72 3.12324559385295 420.08 6.0404451693296
"188" "Parent" "P" "70265" 4 "PParent" "40019" "40089" "no" 9.25 2.22462355152433 367 5.90536184805457
"189" "Parent" "P" "70268" 1 "PParent" "40065" "40135" "UtF1" 19.68 2.97960289162411 456.58 6.12376393112147
"190" "Parent" "P" "70268" 2 "PParent" "40065" "40135" "UtF1" 22.74 3.12412548832239 455.17 6.12067097554362
"191" "Parent" "P" "70268" 3 "PParent" "40065" "40135" "UtF1" 20.41 3.01602497682175 467.59 6.1475918435694
"192" "Parent" "P" "70268" 4 "PParent" "40065" "40135" "UtF1" 21.11 3.04974686186023 444.39 6.09670255526207
"193" "Parent" "P" "70274" 1 "PParent" "40136" "40063" "no" 15.07 2.7127060126384 242.69 5.49178490875225
"194" "Parent" "P" "70274" 2 "PParent" "40136" "40063" "no" 21.75 3.07961375753469 439.93 6.08661562334691
"195" "Parent" "P" "70274" 3 "PParent" "40136" "40063" "no" 18.63 2.9247731846135 396.49 5.9826508200759
"196" "Parent" "P" "70274" 4 "PParent" "40136" "40063" "no" 17.04 2.83556352140117 344.35 5.84165858199071
"197" "Parent" "P" "70275" 1 "PParent" "40065" "40065" "no" 9.78 2.28033948404673 427.33 6.05755654847007
"198" "Parent" "P" "70275" 2 "PParent" "40065" "40065" "no" 21.89 3.08602991153477 568.15 6.34238546836402
"199" "Parent" "P" "70275" 3 "PParent" "40065" "40065" "no" 24.77 3.20963324350127 577.18 6.35815417626474
"200" "Parent" "P" "70275" 4 "PParent" "40065" "40065" "no" 24.11 3.18262669219308 562.32 6.33207108286765
"201" "Parent" "P" "70293" 1 "PParent" "40145" "40094" "no" 12.69 2.5408142817263 204.31 5.31963844825172
"202" "Parent" "P" "70293" 2 "PParent" "40145" "40094" "no" 20.87 3.03831272108911 292.96 5.6800360809262
"203" "Parent" "P" "70293" 3 "PParent" "40145" "40094" "no" 18.97 2.94285878394692 303.16 5.71426071894383
"204" "Parent" "P" "70293" 4 "PParent" "40145" "40094" "no" 14.11 2.64688376586472 245.56 5.5035413165593
"205" "Parent" "P" "70300" 1 "PParent" "40025" "40143" "no" 19.73 2.98214032003452 320.84 5.77094255649872
"206" "Parent" "P" "70300" 2 "PParent" "40025" "40143" "no" 19.71 2.98112612116463 328.88 5.79569294258962
"207" "Parent" "P" "70300" 3 "PParent" "40025" "40143" "no" 13.98 2.63762773680566 311.52 5.74146354162389
"208" "Parent" "P" "70300" 4 "PParent" "40025" "40143" "no" 17.47 2.86048512414597 363.46 5.89566924965311
"209" "Parent" "P" "70305" 1 "PParent" "40150" "40028" "UtF1" 20.31 3.01111337559229 355.06 5.87228678927865
"210" "Parent" "P" "70305" 2 "PParent" "40150" "40028" "UtF1" 19.35 2.96269241947579 410.12 6.01644979980189
"211" "Parent" "P" "70305" 3 "PParent" "40150" "40028" "UtF1" 20.08 2.99972429482353 387.22 5.95899300696102
"212" "Parent" "P" "70305" 4 "PParent" "40150" "40028" "UtF1" 24.64 3.20437113866532 470.65 6.15411471799323
"213" "Parent" "P" "70316" 1 "PParent" "40142" "40094" "no" 22.2 3.10009228887823 376.07 5.92977529627514
"214" "Parent" "P" "70316" 2 "PParent" "40142" "40094" "no" 20.73 3.03158192644769 370.16 5.91393534459874
"215" "Parent" "P" "70316" 3 "PParent" "40142" "40094" "no" 17.42 2.85761897142436 323.7 5.7798171609322
"216" "Parent" "P" "70316" 4 "PParent" "40142" "40094" "no" 17.94 2.88703285663065 360.75 5.88818519765398
"217" "Parent" "P" "70327" 1 "PParent" "40114" "40075" "no" 17.24 2.84723226523555 328.6 5.79484120560317
"218" "Parent" "P" "70327" 2 "PParent" "40114" "40075" "no" 16.33 2.79300390698237 327.42 5.7912437504262
"219" "Parent" "P" "70327" 3 "PParent" "40114" "40075" "no" 20.65 3.02771531940704 403.46 6.0000773502062
"220" "Parent" "P" "70327" 4 "PParent" "40114" "40075" "no" 19.38 2.96424160646262 409.05 6.01383739795971
"221" "Parent" "P" "70329" 1 "PParent" "40135" "40044" "no" 17.57 2.86619290219901 274.99 5.61673473336903
"222" "Parent" "P" "70329" 2 "PParent" "40135" "40044" "no" 18.79 2.93332481342537 348.33 5.85315030630702
"223" "Parent" "P" "70329" 3 "PParent" "40135" "40044" "no" 24.09 3.18179681662678 329.08 5.79630088230073
"224" "Parent" "P" "70329" 4 "PParent" "40135" "40044" "no" 21.46 3.06619073720255 386.65 5.95751989105504
"225" "Parent" "P" "70337" 1 "PParent" "40117" "40097" "UtF1" 19.98 2.99473177322041 342.31 5.83571675924906
"226" "Parent" "P" "70337" 2 "PParent" "40117" "40097" "UtF1" 26.26 3.26804686887465 463.06 6.13785663532305
"227" "Parent" "P" "70337" 3 "PParent" "40117" "40097" "UtF1" 16.45 2.80032547721138 309.98 5.7365077792689
"228" "Parent" "P" "70337" 4 "PParent" "40117" "40097" "UtF1" 23.79 3.16926532431487 426.29 6.0551198658371
"229" "Parent" "P" "70347" 1 "PParent" "40097" "40117" "UtF1" 24.04 3.17971910966701 429.65 6.06297092375923
"230" "Parent" "P" "70347" 2 "PParent" "40097" "40117" "UtF1" 27.04 3.29731725117476 434.87 6.07504713584924
