Generation	numb	LINE	Line	pop	dam 	sire	Gener	ind	rep	ident	Bloss	no.bloss	date	asd	gad	gw	ghl	ghr	ubl	ubw	GA	UBA	SEL		
4	76	D	Down	51	3022A	3004A	F4	4019	D	51D4019D	3	1	15.06.2017	2,41	4,65	7,52	2,76	2,86	19,21	22,16	21,1312	425,6936	NA		
4	106	D	Down	51	3022A	3035A	F4	4020	B	51D4020B	1	1	23.06.2017	3,84	5,19	7,34	3,11	3,12	18,63	23,64	22,8641	440,4132	NA		
4	154	D	Down	51	3022A	3035A	F4	4020	B	51D4020B	2	1	02.07.2017	3,26	4,68	7,48	2,85	3,16	18,18	25,2	22,4774	458,136	NA		
4	162	D	Down	51	3022A	3035A	F4	4020	B	51D4020B	3	2	03.07.2017	4,1	4,52	6,91	2,96	2,91	19,61	22,98	20,28085	450,6378	NA		
4	188	D	Down	51	3025A	3003B	F4	4021	A	51D4021A	1	1	09.07.2017	3,85	4,41	5,78	1,82	1,96	18,61	20,73	10,9242	385,7853	NA		
4	189	D	Down	51	3025A	3003B	F4	4021	A	51D4021A	2	1	09.07.2017	3,6	4,92	6,1	2,16	2,4	19,02	22,13	13,908	420,9126	NA		
4	190	D	Down	51	3025A	3003B	F4	4021	A	51D4021A	3	2	09.07.2017	4,27	5,04	6,82	2,49	2,68	17,68	21,57	17,6297	381,3576	NA		
4	18	D	Down	51	3025A	3017A	F4	4022	C	51D4022C	1	1	25.05.2017	3,63	4,73	6,1	2,38	2,56	19,87	25,35	15,067	503,7045	NA		
4	235	D	Down	51	3025A	3017A	F4	4022	C	51D4022C	2	1	09.07.2017	2,92	5,88	6,94	2,65	2,62	15,77	18,22	18,2869	287,3294	NA		
4	236	D	Down	51	3025A	3017A	F4	4022	C	51D4022C	3	1	09.07.2017	2,95	5,59	6,56	2,87	2,68	16,38	20,54	18,204	336,4452	NA		
4	10	D	Down	51	3025A	3063A	F4	4023	C	51D4023C	1	1	24.05.2017	1,65	4,96	7,35	2,97	3,02	20,54	24,71	22,01325	507,5434	NA		
4	146	D	Down	51	3025A	3063A	F4	4023	C	51D4023C	2	1	30.06.2017	3,35	4,07	5,74	2,3	2,36	16,58	18,26	13,3742	302,7508	NA		
4	180	D	Down	51	3025A	3063A	F4	4023	C	51D4023C	3	1	07.07.2017	3,37	5,16	7,52	3,17	3,13	18,58	22,43	23,688	416,7494	NA		
4	222	D	Down	51	3025A	3063A	F4	4023	D	51D4023D	1	1	26.07.2017	2,64	4,93	6,84	3,03	2,98	16,96	21,05	20,5542	357,008	NA		
4	223	D	Down	51	3025A	3063A	F4	4023	D	51D4023D	2	1	26.07.2017	2,23	6,05	8,19	3,54	3,59	18,46	22,9	29,19735	422,734	NA		
4	224	D	Down	51	3025A	3063A	F4	4023	D	51D4023D	3	1	26.07.2017	4,07	5,29	7,17	2,94	3,48	18,44	23,45	23,0157	432,418	NA		
4	68	D	Down	51	3029A	3022A	F4	4025	C	51D4025C	1	1	12.06.2017	3,35	6,38	7,18	3,09	3,23	21,08	23,94	22,6888	504,6552	NA		
4	133	D	Down	51	3029A	3022A	F4	4025	C	51D4025C	2	1	27.06.2017	3,68	5,03	7,75	3,24	3,07	20,47	24,69	24,45125	505,4043	NA		
4	134	D	Down	51	3029A	3022A	F4	4025	C	51D4025C	3	1	27.06.2017	1,97	6	7,98	3,41	3,42	20,4	23,38	27,2517	476,952	NA		
4	103	D	Down	51	3029A	3025A	F4	4026	B	51D4026B	1	1	23.06.2017	1,94	4,61	6,72	2,85	3,12	19,49	22,98	20,0592	447,8802	NA		
