Generation 	Included 	Gener	Line	SEL	selected	line	dam	sire	plant	ident	Bloss	gad	gw	ghl	ghr	ubl	ubw	GA	UBA	lbl	lbw	INCLUDED 
1	1	F1	Up	UtF2	1	UP	51049	51017	a	UP1_5	2	4.53	8.50	3.70	3.68	18.39	22.50	31.37	413.78	NA	NA	0
1	1	F1	Up	UtF2	1	UP	51049	51017	a	UP1_5	3	4.23	8.62	4.16	3.97	19.81	25.50	35.04	505.16	NA	NA	0
1	1	F1	Up	no	0	UP	51049	51136	a	UP1_6	1	3.47	7.80	3.86	3.90	20.55	23.64	30.26	485.80	NA	NA	0
1	1	F1	Up	no	0	UP	51049	51136	a	UP1_6	2	5.26	7.66	3.33	3.87	20.55	24.73	27.58	508.20	NA	NA	0
1	1	F1	Up	no	0	UP	51049	51136	a	UP1_6	3	4.68	6.99	3.27	3.07	21.21	24.77	22.16	525.37	NA	NA	0
1	1	F1	Up	UtF2	1	UP	51049	51243	a	UP1_7	1	4.70	8.24	3.73	4.16	19.46	25.38	32.51	493.89	NA	NA	0
1	1	F1	Up	UtF2	1	UP	51049	51243	a	UP1_7	2	6.02	9.33	4.61	4.42	23.61	29.50	42.12	696.50	NA	NA	0
1	1	F1	Up	UtF2	1	UP	51049	51243	a	UP1_7	3	5.55	7.38	3.65	3.56	19.84	25.75	26.60	510.88	NA	NA	0
1	1	F1	Up	no	0	UP	51063	51077	a	UP1_8	1	4.80	7.96	3.83	3.73	20.68	22.73	30.09	470.06	NA	NA	0
1	1	F1	Up	no	0	UP	51063	51077	a	UP1_8	2	4.77	7.78	3.47	3.73	22.11	27.09	28.01	598.96	NA	NA	0
1	1	F1	Up	no	0	UP	51063	51077	a	UP1_8	3	3.80	7.25	3.27	3.34	19.84	24.42	23.96	484.49	NA	NA	0
1	1	F1	Up	no	0	UP	51063	51465	a	UP1_9	1	4.57	7.93	3.34	3.52	18.24	20.89	27.20	381.03	NA	NA	0
1	1	F1	Up	no	0	UP	51063	51465	a	UP1_9	2	4.62	8.68	4.39	3.92	19.70	25.10	36.07	494.47	NA	NA	0
1	1	F1	Up	no	0	UP	51063	51465	a	UP1_9	3	4.97	8.10	3.54	3.93	22.21	26.13	30.25	580.35	NA	NA	0
1	1	F1	Up	no	0	UP	51063	51485	a	UP1_10	1	4.70	8.77	3.79	4.09	19.67	21.37	34.55	420.35	NA	NA	0
1	1	F1	Up	no	0	UP	51063	51485	a	UP1_10	2	5.51	8.01	3.31	3.39	19.67	24.28	26.83	477.59	NA	NA	0
1	1	F1	Up	no	0	UP	51063	51485	a	UP1_10	3	5.86	8.70	4.04	4.07	23.22	25.41	35.28	590.02	NA	NA	0
1	1	F1	Up	UtF2	1	UP	51063	51485	b	UP1_11	1	5.87	8.32	3.03	3.79	26.02	25.58	28.37	665.59	NA	NA	0
1	1	F1	Up	UtF2	1	UP	51063	51485	b	UP1_11	2	5.89	8.92	4.21	3.94	21.57	24.95	36.35	538.17	NA	NA	0
1	1	F1	Up	UtF2	1	UP	51063	51485	b	UP1_11	3	5.73	8.94	3.97	4.20	22.45	26.89	36.52	603.68	NA	NA	0
1	1	F1	Up	no	0	UP	51077	51063	a	UP1_12	1	4.38	7.79	3.48	3.51	18.16	22.43	27.23	407.33	NA	NA	0
1	1	F1	Up	no	0	UP	51077	51063	a	UP1_12	2	4.73	8.67	3.53	4.18	19.72	24.32	33.42	479.59	NA	NA	0
1	1	F1	Up	no	0	UP	51077	51063	a	UP1_12	3	3.46	7.41	3.34	3.40	19.09	21.86	24.97	417.31	NA	NA	0
1	1	F1	Up	no	0	UP	51077	51377	a	UP1_13	1	5.33	8.02	3.75	4.05	21.98	27.61	31.28	606.87	NA	NA	0
1	1	F1	Up	no	0	UP	51077	51377	a	UP1_13	2	5.22	8.26	4.19	4.14	23.71	28.86	34.40	684.27	NA	NA	0
1	1	F1	Up	no	0	UP	51077	51377	a	UP1_13	3	4.10	7.70	3.10	3.29	18.05	21.78	24.60	393.13	NA	NA	0
1	1	F1	Up	no	0	UP	51077	51377	b	UP1_14	1	5.42	8.44	3.61	3.67	22.55	26.03	30.72	586.98	NA	NA	0
1	1	F1	Up	no	0	UP	51077	51377	b	UP1_14	2	4.69	6.32	2.77	2.83	18.60	21.49	17.70	399.71	NA	NA	0
1	1	F1	Up	no	0	UP	51077	51377	b	UP1_14	3	4.98	7.31	3.37	3.58	19.94	25.19	25.40	502.29	NA	NA	0
1	1	F1	Up	no	0	UP	51077	51465	a	UP1_15	1	5.60	7.80	3.66	3.52	20.04	26.76	28.00	536.27	NA	NA	0
1	1	F1	Up	no	0	UP	51077	51465	a	UP1_15	2	5.49	7.58	3.59	3.69	17.85	22.55	27.59	402.52	NA	NA	0
1	1	F1	Up	no	0	UP	51077	51465	a	UP1_15	3	5.13	8.08	3.95	3.87	18.55	25.34	31.59	470.06	NA	NA	0
1	1	F1	Up	UtF2	1	UP	51077	51485	a	UP1_16	1	4.71	9.32	3.98	4.54	19.39	22.25	39.70	431.43	NA	NA	0
1	1	F1	Up	UtF2	1	UP	51077	51485	a	UP1_16	2	3.37	8.49	4.09	3.95	18.82	24.20	34.13	455.44	NA	NA	0
1	1	F1	Up	UtF2	1	UP	51077	51485	a	UP1_16	3	4.82	8.98	4.20	3.26	19.36	24.58	33.50	475.87	NA	NA	0
1	1	F1	Up	no	0	UP	51077	51485	b	UP1_17	1	3.87	7.18	3.13	3.28	18.41	22.28	23.01	410.17	NA	NA	0
1	1	F1	Up	no	0	UP	51077	51485	b	UP1_17	2	5.02	7.68	3.41	3.96	22.00	26.50	28.30	583.00	NA	NA	0
1	1	F1	Up	no	0	UP	51077	51485	b	UP1_17	3	5.04	7.85	4.11	3.70	21.05	23.36	30.65	491.73	NA	NA	0
1	1	F1	Up	no	0	UP	51087	51136	a	UP1_18	1	4.81	8.73	4.17	3.81	20.47	28.47	34.83	582.78	NA	NA	0
