ind	Line	Gener	block	dam	sire	bloss	malefl	gad	Gwtot	GHl	GHr	UBL	UBW	GA	UBA	lbl	lbw	selected	select_rand	SEL
70453	Parent	P	9	40143	40109	3	1	3.20	6.40	2.54	2.17	19.32	20.60	15.07	397.99	NA	NA	NA	NA	no
70453	Parent	P	9	40143	40109	4	1	2.80	7.57	2.70	2.73	19.89	19.40	20.55	385.87	NA	NA	NA	NA	no
70459	Parent	P	2	40072	40072	1	1	3.23	6.56	2.75	2.62	14.59	17.88	17.61	260.87	NA	NA	NA	NA	no
70459	Parent	P	2	40072	40072	2	2	2.76	8.15	3.07	2.25	18.85	21.20	21.68	399.62	NA	NA	NA	NA	no
70459	Parent	P	2	40072	40072	3	2	3.38	6.66	3.12	3.12	18.63	19.83	20.78	369.43	NA	NA	NA	NA	no
70459	Parent	P	2	40072	40072	4	2	3.24	7.67	2.50	3.32	19.86	21.75	22.32	431.96	NA	NA	NA	NA	no
70464	Parent	P	7	40138	40124	1	1	2.58	7.34	3.34	3.27	18.06	21.21	24.26	383.05	NA	NA	NA	NA	no
70464	Parent	P	7	40138	40124	2	1	3.47	6.10	2.77	2.76	16.22	17.75	16.87	287.91	NA	NA	NA	NA	no
70464	Parent	P	7	40138	40124	3	2	3.63	5.62	2.56	2.44	16.01	17.68	14.05	283.06	NA	NA	NA	NA	no
70464	Parent	P	7	40138	40124	4	1	2.94	7.22	2.97	3.09	18.54	19.95	21.88	369.87	NA	NA	NA	NA	no
70470	Parent	P	9	40143	40128	1	1	3.35	7.54	2.93	3.25	17.15	20.94	23.30	359.12	NA	NA	NA	NA	no
70470	Parent	P	9	40143	40128	2	1	3.25	7.15	2.67	2.92	18.94	19.27	19.98	364.97	NA	NA	NA	NA	no
70470	Parent	P	9	40143	40128	3	1	3.25	6.48	2.77	2.71	18.35	18.69	17.76	342.96	NA	NA	NA	NA	no
70470	Parent	P	9	40143	40128	4	1	3.32	7.17	3.04	3.20	17.57	19.22	22.37	337.70	NA	NA	NA	NA	no
70471	Parent	P	1	40026	40026	1	1	2.97	7.03	3.01	2.97	16.59	19.70	21.02	326.82	NA	NA	NA	NA	no
70471	Parent	P	1	40026	40026	2	1	3.27	6.22	2.71	2.60	16.01	20.08	16.51	321.48	NA	NA	NA	NA	no
70471	Parent	P	1	40026	40026	3	1	3.52	6.97	2.38	2.51	20.20	22.01	17.04	444.60	NA	NA	NA	NA	no
70471	Parent	P	1	40026	40026	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no
70474	Parent	P	1	40149	40117	1	1	3.64	7.02	2.63	2.71	16.35	18.56	18.74	303.46	NA	NA	NA	NA	no
70474	Parent	P	1	40149	40117	2	1	3.66	7.01	2.98	2.75	18.69	18.43	20.08	344.46	NA	NA	NA	NA	no
70474	Parent	P	1	40149	40117	3	2	3.67	6.64	2.73	3.05	17.40	18.51	19.19	322.07	NA	NA	NA	NA	no
70474	Parent	P	1	40149	40117	4	1	3.54	7.44	3.21	2.96	17.76	18.53	22.95	329.09	NA	NA	NA	NA	no
70476	Parent	P	3	40094	40146	1	1	3.06	7.14	2.48	2.69	15.33	18.82	18.46	288.51	NA	NA	NA	NA	no
70476	Parent	P	3	40094	40146	2	1	2.64	6.16	2.28	2.23	18.21	18.02	13.89	328.14	NA	NA	NA	NA	no
70476	Parent	P	3	40094	40146	3	1	2.99	6.46	2.45	2.60	18.55	18.30	16.31	339.47	NA	NA	NA	NA	no
70476	Parent	P	3	40094	40146	4	1	2.74	6.55	2.62	2.64	19.05	17.87	17.23	340.42	NA	NA	NA	NA	no
70482	Parent	P	5	40090	40148	1	1	2.97	6.71	2.58	2.54	17.43	19.98	17.18	348.25	NA	NA	NA	NA	no
70482	Parent	P	5	40090	40148	2	1	3.17	6.19	2.65	2.71	18.05	19.44	16.59	350.89	NA	NA	NA	NA	no
70482	Parent	P	5	40090	40148	3	1	3.37	6.88	2.70	2.69	17.44	18.72	18.54	326.48	NA	NA	NA	NA	no
70482	Parent	P	5	40090	40148	4	1	2.87	6.31	2.56	2.58	18.30	19.07	16.22	348.98	NA	NA	NA	NA	no
