No.	line	Line	pop	dam	sire	Gener	ind1	rep	ind	bloss	malefl	date	ASD	GAD	GW	GHl	GHr	UBL	UBW	GA	BA	SEL		
13	D	Down	70	70D3029	D3053	F4	4027	A	70D4027A	1	1	16.07.2016	0	2,6	5,75	2,05	2,36	18,93	19,54	12,67875	369,8922	NA		
31	D	Down	70	70D3029	D3053	F4	4027	A	70D4027A	2	1	21.07.2016	0	2,87	5,88	2,18	2,13	17,69	19,03	12,6714	336,6407	NA		
84	D	Down	70	70D3029	D3053	F4	4027	A	70D4027A	3	1	28.07.2016	0	2,9	6,65	2,28	2,25	19,02	20,3	15,06225	386,106	NA		
99	D	Down	70	70D3029	D3053	F4	4027	B	70D4027B	1	1	28.07.2016	0	3,82	5,86	2,24	2,45	19,86	19,47	13,7417	386,6742	NA		
100	D	Down	70	70D3029	D3053	F4	4027	B	70D4027B	2	1	28.07.2016	0	3,5	4,95	2,04	1,83	19,39	17,31	9,57825	335,6409	NA		
190	D	Down	70	70D3029	D3053	F4	4027	B	70D4027B	3	1	23.08.2016	0,66	3,43	6,03	2,68	2,48	20,26	18,24	15,5574	369,5424	NA		
137	D	Down	70	70D3029	D3058	F4	4028	A	70D4028A	1	1	08.08.2016	0	2,73	5,42	2,16	2,52	18,52	17,29	12,6828	320,2108	NA		
171	D	Down	70	70D3029	D3058	F4	4028	A	70D4028A	2	1	11.08.2016	0	3,04	5,66	2,62	2,5	18,2	18,64	14,4896	339,248	NA		
185	D	Down	70	70D3029	D3058	F4	4028	A	70D4028A	3	1	23.08.2016	0	2,89	5,86	2,36	2,42	18,16	16,15	14,0054	293,284	NA		
82	D	Down	70	70D3036	D3006B	F4	4029	A	70D4029A	1	1	28.07.2016	0,58	2,99	4,81	1,79	1,79	17,15	16,96	8,6099	290,864	NA		
136	D	Down	70	70D3036	D3006B	F4	4029	A	70D4029A	2	2	08.08.2016	1,08	2,79	4,95	1,7	2,07	16,84	15	9,33075	252,6	NA		
176	D	Down	70	70D3036	D3006B	F4	4029	A	70D4029A	3	2	23.08.2016	0,45	2,76	5,67	2,39	2,16	18,53	18	12,89925	333,54	NA		
83	D	Down	70	70D3036	D3028	F4	4030	A	70D4030A	1	1	28.07.2016	0	2,92	5,98	2,03	2,22	19,28	18,45	12,7075	355,716	NA		
179	D	Down	70	70D3036	D3028	F4	4030	A	70D4030A	2	3	23.08.2016	0	2,35	6,06	2,32	2,46	20,13	18,45	14,4834	371,3985	NA		
180	D	Down	70	70D3036	D3028	F4	4030	A	70D4030A	3	1	23.08.2016	0,88	2,78	5,72	2,38	2,12	18,63	16,25	12,87	302,7375	NA		
46	D	Down	70	70D3036	D3054	F4	4031	A	70D4031A	1	1	25.07.2016	0	2,66	5,18	1,89	2,07	17,8	17,69	10,2564	314,882	NA		
198	D	Down	70	70D3036	D3054	F4	4031	A	70D4031A	2	1	24.08.2016	0	2,85	5,37	2,21	2,17	18,75	17,09	11,7603	320,4375	NA		
209	D	Down	70	70D3036	D3054	F4	4031	A	70D4031A	3	2	28.08.2016	0	2,83	6,32	2,48	2,18	19,68	20,41	14,7256	401,6688	NA		
6	D	Down	70	70D3036	D3064	F4	4032	B	70D4032B	1	1	15.07.2016	1,18	2,86	5,47	1,92	2,3	21,14	17,53	11,5417	370,5842	NA		
11	D	Down	70	70D3036	D3064	F4	4032	B	70D4032B	2	2	16.07.2016	1,97	3,26	5,9	1,94	2,13	23,29	20,49	12,0065	477,2121	NA		
29	D	Down	70	70D3036	D3064	F4	4032	B	70D4032B	3	2	21.07.2016	0	2,97	5,95	2,07	2,25	21,91	20,01	12,852	438,4191	NA		
97	D	Down	70	70D3037	D3010	F4	4033	A	70D4033A	1	2	28.07.2016	0,75	3,24	6,19	2,3	2,17	21,22	21,46	13,83465	455,3812	NA		
